sequence_id,method,n_frames,rot_median,rot_p90,rot_mean,center_median_norm,center_p90_norm,trajectory_cosine,neighbor_rpe_rot,neighbor_rpe_trans,pose_gate
mustc__plot198__230613__ugv__pos00,gauge_aware,20,2.6450925404267487,5.131917871892058,2.571093309951821,0.08950564108051648,0.2077079797721615,0.990390235127022,3.394401045702689,0.15129976238529155,PASS
mustc__plot198__230613__ugv__pos00,center_only,20,3.248152289464353,5.7892175033428535,3.2451926427978437,0.10084548462378701,0.2451964717420257,0.9895921119522779,3.582513678068011,0.15458940967250281,PASS
mustc__plot198__230613__ugv__pos00,consecutive_local,16,1.7885365798497954,4.087153183558676,1.8903208241927345,0.06901223971007964,0.1525020761578304,0.9952474036814014,2.3736457303521945,0.1258335817753353,PASS
plantview__langdon_4__05-03-24,gauge_aware,320,44.048294779248394,81.7118257973001,44.95960145106578,0.42947785446776143,0.8172979097102059,0.8385447134845962,1.3381503571088778,0.2722272726664307,FAIL
plantview__langdon_4__05-03-24,center_only,320,48.76497959346918,69.23849038627102,46.27804265359555,0.5141896403507837,0.9184512636510342,0.80455486004339,2.077658387032299,0.33409196568316696,FAIL
plantview__langdon_4__05-03-24,consecutive_local,16,2.69296330657411,4.075404252863969,2.28474799367732,0.05281605510457793,0.0788605710521115,0.9947488911606466,1.0652976322367245,0.08879363472270332,PASS
plantview__langdon_4__05-03-24,uniform_sparse_16v,16,1.0575060012449036,3.8748489889168307,,0.05476971829447133,,0.9940078028302627,,,PASS
plantview__langdon_4__12-03-24,gauge_aware,320,48.74763774539907,85.81709155799636,48.955513101491135,0.4883710892939108,0.8667697045207873,0.8219042530456931,1.2682013683389908,0.304446135760596,FAIL
plantview__langdon_4__12-03-24,center_only,320,28.92986378515679,55.276706226248,32.89199464840125,0.5005133380526626,0.7080053766484453,0.8716250932757814,1.8805030472192927,0.30668488037844394,FAIL
plantview__langdon_4__12-03-24,consecutive_local,16,2.894968510152734,4.856116047428631,2.794601804936886,0.04802808825046612,0.07518880090523197,0.9938678069540519,1.6157226022340854,0.10263855163125944,PASS
plantview__langdon_4__12-03-24,uniform_sparse_16v,16,76.1685035474816,148.74731359668812,,0.9573741075949106,,0.47090736325241,,,FAIL
plantview__langdon_4__15-04-24,gauge_aware,318,53.09920911105454,88.84213061303946,50.79547585446174,0.535306742771116,0.9045596796035078,0.813492964930771,1.44567082250311,0.3207970362539859,FAIL
plantview__langdon_4__15-04-24,center_only,318,59.88992723084196,119.83813524225754,68.07249867459225,0.6324513343706473,1.065232610627863,0.6676473166774929,2.6427381612848606,0.3679832554701315,FAIL
plantview__langdon_4__15-04-24,consecutive_local,16,2.3945636420976477,4.834574473658188,2.484410300619241,0.05759331375011559,0.11643835377979209,0.9939690740246729,0.7615432193655953,0.12007883634642254,PASS
plantview__langdon_4__15-04-24,uniform_sparse_16v,16,68.86485896239381,162.33038277073132,,0.8182333510337654,,0.49017698717723573,,,FAIL
plantview__langdon_4__19-03-24,gauge_aware,320,44.2945567719285,81.82520557699532,45.215977958106734,0.4469889225655346,0.8622613406079467,0.8342084430317547,1.339525513069822,0.2580481643080726,FAIL
plantview__langdon_4__19-03-24,center_only,320,27.881442485749155,48.965582764620706,31.825155734552766,0.45717119819520846,0.723796316806101,0.852812367334154,1.955075461435419,0.27813290051964584,FAIL
plantview__langdon_4__19-03-24,consecutive_local,16,2.456694148761975,3.7474056783834717,2.1188486330540646,0.040604127122377646,0.07352323574122643,0.994096028466367,0.9411063790103192,0.12259762532735254,PASS
plantview__langdon_4__19-03-24,uniform_sparse_16v,16,89.49071941598986,161.14675381834007,,1.1779173964229335,,0.5295845155358961,,,FAIL
wheat3dgs__plot_461,gauge_aware,36,3.2777914305346396,5.699963746368441,3.354320253878153,0.16633888796426466,0.3508932639077691,0.9920722629825411,2.0403224548651324,0.1683438849867256,PASS
wheat3dgs__plot_461,center_only,36,6.457138367093755,10.419648671881873,6.762696799784118,0.17813272483647608,0.3302004548548014,0.9934568601761492,2.311056335858555,0.18313933172631952,PASS
wheat3dgs__plot_461,consecutive_local,16,2.5138905121370922,5.7001172708150865,3.0773327351472948,0.12010977282079839,0.1776350918088574,0.9957191162801036,2.344797782770974,0.10349535084762426,PASS
wheat3dgs__plot_461,uniform_sparse_16v,16,3.2947330037433327,4.987080785546121,,0.1618060441300846,,0.979793194546758,,,PASS
wheat3dgs__plot_467,gauge_aware,36,3.367544272687806,4.900709627676056,2.938289110691905,0.18643633572946383,0.34358190429014485,0.9899504559466036,1.6412369684705908,0.17412733485833792,PASS
wheat3dgs__plot_467,center_only,36,3.8513832276358446,5.952495341735704,4.088208758050485,0.19025410251258723,0.37135331502010377,0.9899513978617926,1.9018259568020484,0.196475294619936,PASS
wheat3dgs__plot_467,consecutive_local,16,2.391766439931879,5.484576094613392,2.929068356320668,0.1083426393480787,0.22971685234713732,0.9954012269432854,1.7214189271135154,0.11026016870807596,PASS
wheat3dgs__plot_467,uniform_sparse_16v,16,2.671400765256222,4.210866511805783,,0.13116201988598375,,0.9765146764029297,,,PASS
